campaign_name,start_date,end_date,budget,roi,type,target_audience,channel,conversion_rate,revenue,duracionCampaña,roiAjustado,eficienciaCosto,estacionesInicio,mesInicio,roiDiario
reverse-engineered zero administration workforce,2022-10-11,2023-10-14,57815.1,0.62,webinar,B2B,promotion,0.65,962065.9,368.0,-367.38,904250.8,4.0,October,0.0016847826086956522
pre-emptive real-time database,2023-07-28,2023-09-11,75262.37,0.75,webinar,B2B,referral,0.7,421847.27,45.0,-44.25,346584.9,3.0,July,0.016666666666666666
business-focused foreground budgetary management,2023-06-14,2023-12-10,43226.59,0.95,social media,B2B,referral,0.53,573462.79,179.0,-178.05,530236.2000000001,2.0,June,0.005307262569832402
stand-alone multi-tasking methodology,2022-11-02,2024-05-03,84506.27,0.8,podcast,B2C,organic,0.63,375663.38,548.0,-547.2,291157.11,4.0,November,0.0014598540145985403
proactive eco-centric process improvement,2023-01-08,2023-12-27,36457.88,0.28,social media,B2B,organic,0.73,905182.53,353.0,-352.72,868724.65,1.0,January,0.000793201133144476
digitized human-resource knowledge user,2023-02-04,2024-01-25,10038.96,0.36,podcast,B2B,promotion,0.7,911686.87,355.0,-354.64,901647.91,1.0,February,0.0010140845070422534
ergonomic next generation hub,2022-12-18,2024-01-27,27079.85,0.32,social media,B2C,referral,0.3,784636.2,405.0,-404.68,757556.35,4.0,December,0.0007901234567901235
realigned radical hardware,2022-11-03,2024-07-12,34512.86,0.2,webinar,B2B,referral,0.87,999712.49,617.0,-616.8,965199.63,4.0,November,0.0003241491085899514
grass-roots national approach,2022-08-29,2024-03-21,16063.49,0.99,email,B2B,promotion,0.69,868083.16,570.0,-569.01,852019.67,3.0,August,0.001736842105263158
synergistic mobile task-force,2022-11-02,2023-11-20,61343.2,0.91,social media,B2B,referral,0.73,943514.25,383.0,-382.09,882171.05,4.0,November,0.0023759791122715404
customer-focused fault-tolerant help-desk,2022-10-08,2023-12-25,39585.98,0.11,podcast,B2B,promotion,0.99,889037.24,443.0,-442.89,849451.26,4.0,October,0.00024830699774266367
face-to-face 6thgeneration portal,2023-05-08,2023-09-05,99535.21,0.59,social media,B2B,paid,0.15,142678.88,120.0,-119.41,43143.67,2.0,May,0.004916666666666666
ameliorated encompassing capacity,2023-02-19,2024-07-28,44466.83,0.15,webinar,B2B,promotion,0.31,504690.83,525.0,-524.85,460224.0,1.0,February,0.0002857142857142857
digitized optimizing capability,2022-08-25,2023-10-12,70841.82,0.22,podcast,B2C,paid,0.76,406913.89,413.0,-412.78,336072.07,3.0,August,0.0005326876513317191
triple-buffered zero tolerance circuit,2023-04-27,2024-03-18,62752.63,0.3,podcast,B2C,paid,0.32,307410.29,326.0,-325.7,244657.65999999997,2.0,April,0.0009202453987730061
open-source background firmware,2023-07-04,2024-04-09,97748.2,0.73,email,B2C,referral,0.96,543371.38,280.0,-279.27,445623.18,3.0,July,0.002607142857142857
expanded global matrices,2022-11-28,2024-04-16,67048.32,0.78,webinar,B2B,organic,0.42,246285.96,505.0,-504.22,179237.63999999998,4.0,November,0.0015445544554455446
organized regional implementation,2023-02-13,2023-12-31,34303.92,0.13,webinar,B2C,paid,0.48,420804.86,321.0,-320.87,386500.94,1.0,February,0.00040498442367601246
realigned stable parallelism,2023-03-31,2024-01-18,52871.17,0.19,webinar,B2B,promotion,0.53,611779.7,293.0,-292.81,558908.5299999999,1.0,March,0.0006484641638225256
networked executive knowledgebase,2022-10-18,2023-08-19,53678.65,0.47,email,B2B,promotion,0.24,129992.9,305.0,-304.53,76314.25,4.0,October,0.001540983606557377
multi-tiered neutral standardization,2023-05-09,2023-11-26,21921.72,0.74,webinar,B2C,organic,0.55,721273.96,201.0,-200.26,699352.24,2.0,May,0.003681592039800995
virtual cohesive orchestration,2023-03-11,2023-08-21,98706.34,0.69,email,B2C,promotion,0.92,499658.4,163.0,-162.31,400952.06000000006,1.0,March,0.0042331288343558275
progressive 4thgeneration policy,2022-10-06,2024-04-20,16290.7,0.49,webinar,B2C,promotion,0.99,172899.7,562.0,-561.51,156609.0,4.0,October,0.0008718861209964413
monitored impactful installation,2023-07-28,2023-11-25,24936.91,0.9,webinar,B2B,promotion,0.37,541332.72,120.0,-119.1,516395.81,3.0,July,0.007500000000000001
automated responsive initiative,2022-08-30,2024-05-12,20401.62,0.6,podcast,B2B,paid,0.28,875354.92,621.0,-620.4,854953.3,3.0,August,0.000966183574879227
function-based grid-enabled conglomeration,2022-12-06,2024-05-03,33675.46,0.18,email,B2B,promotion,0.89,203504.87,514.0,-513.82,169829.41,4.0,December,0.00035019455252918285
polarized dynamic analyzer,2023-06-27,2024-07-26,87618.4,0.97,podcast,B2C,promotion,0.5,274321.91,395.0,-394.03,186703.50999999998,2.0,June,0.0024556962025316454
centralized methodical alliance,2023-07-19,2024-02-11,33524.69,0.6,podcast,B2C,paid,0.19,970610.35,207.0,-206.4,937085.6599999999,3.0,July,0.002898550724637681
visionary directional open architecture,2023-05-02,2024-05-29,86623.59,0.26,webinar,B2C,organic,0.23,107133.96,393.0,-392.74,20510.37000000001,2.0,May,0.0006615776081424936
reduced static functionalities,2023-03-09,2024-01-08,8473.58,0.29,social media,B2B,organic,0.93,840891.99,305.0,-304.71,832418.41,1.0,March,0.0009508196721311475
sharable upward-trending initiative,2022-10-23,2024-04-09,20951.3,0.58,social media,B2C,organic,0.24,994306.41,534.0,-533.42,973355.11,4.0,October,0.0010861423220973783
front-line eco-centric open system,2023-06-16,2024-07-06,36331.8,0.9,social media,B2B,promotion,0.76,622639.37,386.0,-385.1,586307.57,2.0,June,0.0023316062176165805
managed bandwidth-monitored complexity,2023-03-21,2024-04-04,19401.94,0.92,email,B2B,organic,0.25,617007.9,380.0,-379.08,597605.9600000001,1.0,March,0.0024210526315789475
re-engineered non-volatile algorithm,2023-03-04,2023-11-06,59532.42,0.7,webinar,B2B,paid,0.9,773688.33,247.0,-246.3,714155.9099999999,1.0,March,0.0028340080971659917
integrated secondary migration,2023-01-04,2024-04-26,98089.92,0.33,webinar,B2C,paid,0.22,522231.68,478.0,-477.67,424141.76,1.0,January,0.000690376569037657
horizontal 6thgeneration model,2022-11-19,2023-10-29,16308.37,0.65,webinar,B2C,promotion,0.37,511344.87,344.0,-343.35,495036.5,4.0,November,0.0018895348837209302
robust optimizing projection,2023-06-12,2023-11-06,36824.24,0.93,email,B2B,promotion,0.42,971476.94,147.0,-146.07,934652.7,2.0,June,0.006326530612244898
right-sized scalable open architecture,2023-02-06,2023-12-24,62406.71,0.3,webinar,B2B,promotion,0.67,123917.89,321.0,-320.7,61511.18,1.0,February,0.0009345794392523364
optional mission-critical project,2022-08-06,2024-07-22,96713.47,0.92,podcast,B2C,paid,0.63,995340.62,716.0,-715.08,898627.15,3.0,August,0.0012849162011173184
focused responsive open architecture,2022-11-09,2024-01-28,91490.92,0.93,webinar,B2C,referral,0.95,38601.99,445.0,-444.07,-52888.93,4.0,November,0.002089887640449438
reverse-engineered static infrastructure,2023-07-26,2024-05-29,12246.32,0.48,email,B2B,referral,0.44,987205.29,308.0,-307.52,974958.9700000001,3.0,July,0.0015584415584415584
monitored grid-enabled productivity,2023-01-08,2024-06-07,29724.33,0.61,podcast,B2C,promotion,0.27,961419.64,516.0,-515.39,931695.31,1.0,January,0.0011821705426356588
cross-group foreground ability,2023-03-11,2023-11-27,32343.79,0.99,social media,B2B,paid,0.5,55043.59,261.0,-260.01,22699.799999999996,1.0,March,0.003793103448275862
switchable mobile toolset,2023-06-25,2024-04-16,59590.26,0.83,podcast,B2B,referral,0.99,574709.76,296.0,-295.17,515119.5,2.0,June,0.002804054054054054
front-line mobile ability,2022-11-12,2023-08-18,77582.36,0.65,podcast,B2C,promotion,0.47,428175.9,279.0,-278.35,350593.54000000004,4.0,November,0.0023297491039426525
optional systemic adapter,2022-12-15,2023-12-16,23477.6,0.26,email,B2B,paid,0.34,219063.7,366.0,-365.74,195586.1,4.0,December,0.0007103825136612022
user-friendly responsive parallelism,2022-10-31,2024-05-08,9666.13,0.86,email,B2C,referral,0.65,53039.92,555.0,-554.14,43373.79,4.0,October,0.0015495495495495494
mandatory grid-enabled throughput,2023-06-07,2023-08-06,63938.71,0.0,email,B2C,referral,0.49,890569.79,60.0,-60.0,826631.0800000001,2.0,June,0.0
phased dynamic throughput,2023-07-07,2023-12-31,44248.38,0.4,webinar,B2B,paid,0.65,313395.54,177.0,-176.6,269147.16,3.0,July,0.0022598870056497176
pre-emptive mobile local area network,2023-05-07,2024-02-13,97083.41,0.77,podcast,B2B,promotion,0.25,378325.1,282.0,-281.23,281241.68999999994,2.0,May,0.0027304964539007093
decentralized zero-defect superstructure,2022-10-18,2023-10-03,18706.92,0.58,webinar,B2B,referral,0.44,554902.17,350.0,-349.42,536195.25,4.0,October,0.001657142857142857
distributed grid-enabled focus group,2022-10-10,2023-10-12,92742.9,0.55,webinar,B2B,organic,0.33,755802.41,367.0,-366.45,663059.51,4.0,October,0.0014986376021798367
monitored global leverage,2023-03-10,2024-04-26,14418.29,0.47,email,B2B,promotion,0.67,683612.91,413.0,-412.53,669194.62,1.0,March,0.0011380145278450363
secured exuding hardware,2022-08-17,2024-04-13,55644.28,0.41,podcast,B2C,referral,0.68,764211.61,605.0,-604.59,708567.33,3.0,August,0.0006776859504132231
re-engineered content-based projection,2023-06-23,2024-05-03,49973.41,0.32,podcast,B2B,promotion,0.4,305097.18,315.0,-314.68,255123.77,2.0,June,0.0010158730158730158
compatible explicit hierarchy,2022-10-06,2024-05-27,52495.87,0.5,webinar,B2B,promotion,0.56,375558.47,599.0,-598.5,323062.6,4.0,October,0.0008347245409015025
reduced holistic groupware,2023-05-22,2023-08-13,22905.15,0.85,podcast,B2C,paid,0.2,923669.92,83.0,-82.15,900764.77,2.0,May,0.010240963855421687
organic national application,2023-03-01,2023-11-20,70871.65,0.5,email,B2C,organic,0.46,193601.52,264.0,-263.5,122729.87,1.0,March,0.001893939393939394
configurable multi-tasking projection,2022-12-07,2023-08-07,91280.14,0.71,social media,B2B,paid,0.24,764420.89,243.0,-242.29,673140.75,4.0,December,0.0029218106995884774
open-source zero-defect groupware,2022-08-22,2024-02-26,43142.37,0.65,webinar,B2C,referral,0.9,770745.63,553.0,-552.35,727603.26,3.0,August,0.0011754068716094033
extended multi-tasking focus group,2023-07-13,2023-11-11,90807.23,0.44,email,B2B,referral,0.76,153622.7,121.0,-120.56,62815.470000000016,3.0,July,0.0036363636363636364
reverse-engineered 4thgeneration adapter,2023-01-01,2024-04-15,32622.8,0.65,podcast,B2C,promotion,0.3,568194.2,470.0,-469.35,535571.3999999999,1.0,January,0.0013829787234042553
open-source heuristic methodology,2023-06-04,2023-10-18,25277.14,0.34,email,B2C,organic,0.92,49060.75,136.0,-135.66,23783.61,2.0,June,0.0025
diverse interactive functionalities,2023-06-07,2023-10-09,84489.59,0.13,social media,B2B,promotion,0.83,786673.54,124.0,-123.87,702183.9500000001,2.0,June,0.0010483870967741935
ameliorated leadingedge moratorium,2022-12-17,2024-06-11,28928.55,0.6,email,B2C,referral,0.12,130083.15,542.0,-541.4,101154.59999999999,4.0,December,0.001107011070110701
distributed web-enabled matrix,2023-01-21,2024-03-22,9774.56,0.34,email,B2B,paid,0.6,918275.49,426.0,-425.66,908500.9299999999,1.0,January,0.0007981220657276996
horizontal full-range complexity,2022-08-06,2023-08-31,59889.62,0.83,webinar,B2C,referral,0.85,142978.25,390.0,-389.17,83088.63,3.0,August,0.002128205128205128
re-engineered optimizing definition,2023-04-18,2023-10-09,90656.1,0.94,podcast,B2C,organic,0.56,886308.94,174.0,-173.06,795652.84,2.0,April,0.005402298850574712
horizontal regional implementation,2023-05-31,2024-02-21,84627.74,0.95,podcast,B2C,paid,0.75,731870.88,266.0,-265.05,647243.14,2.0,May,0.0035714285714285713
robust eco-centric service-desk,2023-03-03,2023-12-01,61961.66,0.9,webinar,B2B,organic,0.81,794739.96,273.0,-272.1,732778.2999999999,1.0,March,0.0032967032967032967
expanded radical array,2023-07-27,2024-02-11,67729.9,0.27,webinar,B2B,promotion,0.44,911554.74,199.0,-198.73,843824.84,3.0,July,0.00135678391959799
cross-group interactive matrix,2022-12-02,2023-09-18,53669.55,0.34,podcast,B2B,paid,0.22,650057.57,290.0,-289.66,596388.0199999999,4.0,December,0.0011724137931034483
digitized full-range moderator,2023-05-07,2023-12-14,45957.86,0.6,podcast,B2B,referral,0.57,941547.97,221.0,-220.4,895590.11,2.0,May,0.0027149321266968325
programmable dedicated graphical user interface,2023-01-28,2023-10-09,77240.69,0.15,email,B2C,promotion,0.93,546902.83,254.0,-253.85,469662.13999999996,1.0,January,0.0005905511811023622
total secondary attitude,2023-02-13,2024-03-01,27897.65,0.37,podcast,B2C,referral,0.36,746509.64,382.0,-381.63,718611.99,1.0,February,0.0009685863874345549
user-friendly coherent software,2023-04-01,2024-02-20,81083.98,0.2,podcast,B2C,paid,0.9,95920.24,325.0,-324.8,14836.26000000001,2.0,April,0.0006153846153846154
grass-roots global attitude,2022-11-20,2024-04-16,81664.5,0.13,social media,B2C,paid,0.3,862829.84,513.0,-512.87,781165.34,4.0,November,0.000253411306042885
decentralized incremental synergy,2023-05-18,2023-08-24,78742.39,0.81,social media,B2C,referral,0.79,10253.3,98.0,-97.19,-68489.09,2.0,May,0.00826530612244898
virtual executive alliance,2022-10-13,2024-05-05,1580.69,0.46,podcast,B2B,organic,0.17,238785.82,570.0,-569.54,237205.13,4.0,October,0.0008070175438596492
distributed content-based service-desk,2023-06-24,2024-05-10,3889.42,0.32,social media,B2C,promotion,0.2,769703.69,321.0,-320.68,765814.2699999999,2.0,June,0.0009968847352024922
customizable real-time toolset,2023-07-31,2024-05-07,45499.9,0.1,social media,B2C,organic,0.19,292766.77,281.0,-280.9,247266.87000000002,3.0,July,0.00035587188612099647
cross-group discrete implementation,2023-07-02,2024-03-10,98544.63,0.76,podcast,B2C,referral,0.95,803643.85,252.0,-251.24,705099.22,3.0,July,0.003015873015873016
secured object-oriented contingency,2023-01-22,2023-09-26,96004.64,0.6,podcast,B2B,promotion,0.33,593146.14,247.0,-246.4,497141.5,1.0,January,0.0024291497975708503
re-contextualized needs-based function,2022-10-09,2023-10-23,23192.5,0.47,webinar,B2B,referral,0.53,278642.2,379.0,-378.53,255449.7,4.0,October,0.0012401055408970975
face-to-face optimal capacity,2022-08-28,2023-11-29,28757.86,0.31,email,B2C,referral,0.3,215374.16,458.0,-457.69,186616.3,3.0,August,0.0006768558951965065
assimilated analyzing definition,2023-06-19,2023-12-02,97448.7,0.27,email,B2C,paid,0.51,128880.88,166.0,-165.73,31432.180000000008,2.0,June,0.0016265060240963857
diverse homogeneous approach,2022-10-31,2024-04-18,58194.33,0.84,social media,B2C,organic,0.58,209309.17,535.0,-534.16,151114.84000000003,4.0,October,0.0015700934579439252
persevering non-volatile utilization,2023-07-18,2024-02-12,36038.7,0.6,webinar,B2B,referral,0.5,257457.4,209.0,-208.4,221418.7,3.0,July,0.0028708133971291866
down-sized exuding website,2023-03-29,2023-12-29,53597.41,0.96,podcast,B2C,paid,0.68,919259.71,275.0,-274.04,865662.2999999999,1.0,March,0.003490909090909091
persevering zero administration interface,2023-03-27,2023-10-25,1052.57,0.37,email,B2C,promotion,0.44,932323.35,212.0,-211.63,931270.78,1.0,March,0.0017452830188679244
re-contextualized global projection,2023-04-28,2023-10-20,81795.53,0.9,webinar,B2C,organic,0.98,708435.72,175.0,-174.1,626640.19,2.0,April,0.005142857142857143
advanced optimizing portal,2023-02-08,2023-08-26,97675.33,0.55,email,B2B,organic,0.77,961689.96,199.0,-198.45,864014.63,1.0,February,0.002763819095477387
total client-driven functionalities,2023-03-26,2024-06-06,32997.59,0.19,podcast,B2B,paid,0.21,144974.37,438.0,-437.81,111976.78,1.0,March,0.0004337899543378995
grass-roots reciprocal core,2022-11-07,2024-01-19,85249.47,0.97,social media,B2B,paid,0.9,34642.19,438.0,-437.03,-50607.28,4.0,November,0.002214611872146119
self-enabling reciprocal algorithm,2022-11-01,2024-07-29,8645.67,0.12,email,B2B,paid,0.37,961551.85,636.0,-635.88,952906.1799999999,4.0,November,0.00018867924528301886
fundamental holistic policy,2023-01-09,2024-07-29,7952.59,0.3,email,B2C,organic,0.64,632738.63,567.0,-566.7,624786.04,1.0,January,0.000529100529100529
automated background intranet,2023-06-24,2023-12-01,97730.37,0.48,webinar,B2C,organic,0.34,901131.26,160.0,-159.52,803400.89,2.0,June,0.003
diverse modular productivity,2023-01-23,2023-08-19,6626.65,0.28,email,B2C,referral,0.78,650555.67,208.0,-207.72,643929.02,1.0,January,0.0013461538461538463
down-sized attitude-oriented conglomeration,2022-08-23,2024-06-25,59892.4,0.4,email,B2C,referral,0.37,912250.59,672.0,-671.6,852358.19,3.0,August,0.0005952380952380953
universal 24hour process improvement,2022-12-25,2024-07-02,37166.31,0.28,webinar,B2B,referral,0.9,572808.65,555.0,-554.72,535642.3400000001,4.0,December,0.0005045045045045046
fundamental optimal secured line,2023-07-26,2024-02-04,56570.94,0.91,podcast,B2C,referral,0.96,83447.66,193.0,-192.09,26876.72,3.0,July,0.004715025906735752
reverse-engineered responsive migration,2023-02-10,2023-09-23,91764.9,0.34,webinar,B2C,organic,0.61,889379.44,225.0,-224.66,797614.5399999999,1.0,February,0.0015111111111111113
organized hybrid intranet,2023-06-03,2023-11-16,91247.27,0.7,social media,B2B,referral,0.0,579220.33,166.0,-165.3,487973.05999999994,2.0,June,0.004216867469879518
streamlined intermediate core,2022-08-20,2024-02-18,59201.77,0.12,social media,B2B,promotion,0.65,784578.57,547.0,-546.88,725376.7999999999,3.0,August,0.00021937842778793417
re-contextualized regional pricing structure,2023-03-18,2024-06-29,93497.4,0.44,email,B2B,promotion,0.37,58328.0,469.0,-468.56,-35169.399999999994,1.0,March,0.0009381663113006397
stand-alone client-driven challenge,2022-12-20,2023-10-06,18364.99,0.24,webinar,B2B,paid,0.85,433475.14,290.0,-289.76,415110.15,4.0,December,0.0008275862068965517
reactive client-driven paradigm,2023-04-09,2023-10-02,63250.91,0.72,email,B2C,paid,0.76,32045.66,176.0,-175.28,-31205.250000000004,2.0,April,0.00409090909090909
object-based composite info-mediaries,2023-05-04,2023-12-19,52277.41,0.79,webinar,B2C,promotion,0.84,838402.57,229.0,-228.21,786125.1599999999,2.0,May,0.0034497816593886464
user-centric discrete algorithm,2022-09-17,2024-07-25,41022.86,0.64,email,B2B,promotion,0.53,553643.5,677.0,-676.36,512620.64,3.0,September,0.0009453471196454948
cloned discrete customer loyalty,2023-03-21,2023-10-11,69490.13,0.56,email,B2C,paid,0.5,690561.8,204.0,-203.44,621071.67,1.0,March,0.0027450980392156863
function-based motivating algorithm,2022-11-18,2024-05-08,16205.28,0.11,email,B2B,referral,0.86,632469.27,537.0,-536.89,616263.99,4.0,November,0.0002048417132216015
devolved local graphic interface,2023-01-04,2024-06-06,71575.57,0.58,email,B2C,promotion,0.81,295020.93,519.0,-518.42,223445.36,1.0,January,0.001117533718689788
synergized 24hour strategy,2022-09-13,2023-09-24,78034.3,0.9,podcast,B2B,paid,0.36,718941.54,376.0,-375.1,640907.24,3.0,September,0.0023936170212765957
function-based exuding strategy,2023-04-30,2024-02-25,87156.45,0.4,social media,B2C,referral,0.99,95274.7,301.0,-300.6,8118.25,2.0,April,0.00132890365448505
synergistic intermediate middleware,2023-07-22,2023-10-27,28984.24,0.1,webinar,B2C,paid,0.93,224410.83,97.0,-96.9,195426.59,3.0,July,0.0010309278350515464
grass-roots 24/7 orchestration,2023-01-21,2024-06-25,39758.97,0.5,social media,B2C,promotion,0.56,81674.81,521.0,-520.5,41915.84,1.0,January,0.0009596928982725527
adaptive needs-based initiative,2023-06-04,2024-07-06,46618.3,0.72,email,B2C,organic,0.23,854112.83,398.0,-397.28,807494.5299999999,2.0,June,0.0018090452261306533
automated 5thgeneration attitude,2023-02-05,2024-06-03,96380.65,0.99,email,B2B,referral,0.18,35031.43,484.0,-483.01,-61349.219999999994,1.0,February,0.0020454545454545456
mandatory secondary access,2022-08-03,2023-11-04,44406.38,0.17,email,B2B,promotion,0.21,438753.14,458.0,-457.83,394346.76,3.0,August,0.00037117903930131005
digitized analyzing paradigm,2022-09-28,2023-11-04,31010.8,0.5,email,B2B,referral,0.32,759445.2,402.0,-401.5,728434.3999999999,3.0,September,0.0012437810945273632
object-based intangible artificial intelligence,2023-03-27,2023-10-06,19288.56,0.5,webinar,B2B,promotion,0.44,138967.65,193.0,-192.5,119679.09,1.0,March,0.0025906735751295338
proactive mission-critical structure,2022-11-18,2024-06-28,54317.78,0.9,social media,B2C,paid,0.35,190911.53,588.0,-587.1,136593.75,4.0,November,0.0015306122448979593
object-based grid-enabled model,2023-03-27,2023-08-30,41357.61,0.56,social media,B2B,paid,0.65,869961.43,156.0,-155.44,828603.8200000001,1.0,March,0.00358974358974359
seamless executive standardization,2022-11-26,2024-06-12,16261.19,0.49,webinar,B2C,referral,0.52,546988.28,564.0,-563.51,530727.0900000001,4.0,November,0.0008687943262411347
de-engineered homogeneous array,2022-10-11,2024-06-07,27126.77,0.3,webinar,B2C,promotion,0.79,725838.96,605.0,-604.7,698712.19,4.0,October,0.0004958677685950413
inverse heuristic projection,2023-03-27,2023-12-10,97754.27,0.87,social media,B2C,organic,0.56,368164.25,258.0,-257.13,270409.98,1.0,March,0.003372093023255814
diverse asymmetric orchestration,2023-02-22,2023-08-02,86507.56,0.39,email,B2C,paid,0.4,468536.15,161.0,-160.61,382028.59,1.0,February,0.0024223602484472052
reactive zero tolerance core,2023-05-14,2024-07-29,75067.13,0.95,podcast,B2C,promotion,0.44,967358.1,442.0,-441.05,892290.97,2.0,May,0.0021493212669683255
reverse-engineered 24/7 help-desk,2023-01-19,2023-09-19,46839.92,0.65,social media,B2B,paid,0.28,168009.32,243.0,-242.35,121169.40000000001,1.0,January,0.002674897119341564
optimized 24hour budgetary management,2022-12-21,2024-02-25,73305.28,0.61,podcast,B2C,paid,0.48,776332.85,431.0,-430.39,703027.57,4.0,December,0.0014153132250580046
inverse heuristic encryption,2023-07-07,2024-05-15,90612.4,0.15,email,B2B,organic,0.69,123571.95,313.0,-312.85,32959.55,3.0,July,0.00047923322683706066
realigned empowering initiative,2023-03-06,2024-03-31,18541.27,0.58,email,B2B,paid,0.71,783948.9,391.0,-390.42,765407.63,1.0,March,0.0014833759590792838
reduced mobile matrices,2022-08-31,2024-02-17,73723.4,0.74,webinar,B2C,promotion,0.21,62558.41,535.0,-534.26,-11164.98999999999,3.0,August,0.0013831775700934579
virtual motivating portal,2022-10-31,2024-07-28,60705.69,0.24,webinar,B2B,referral,0.19,575160.34,636.0,-635.76,514454.64999999997,4.0,October,0.0003773584905660377
customizable executive task-force,2022-08-31,2024-02-10,14777.5,0.0,email,B2C,promotion,0.38,865674.86,528.0,-528.0,850897.36,3.0,August,0.0
optional 3rdgeneration open architecture,2023-07-16,2024-07-24,81086.35,0.27,podcast,B2C,organic,0.32,596689.85,374.0,-373.73,515603.5,3.0,July,0.0007219251336898396
networked 6thgeneration neural-net,2022-11-08,2023-09-07,39534.14,0.94,social media,B2B,promotion,0.49,460143.5,303.0,-302.06,420609.36,4.0,November,0.003102310231023102
open-architected empowering database,2023-05-25,2023-12-26,63786.13,0.21,podcast,B2C,organic,0.43,91479.12,215.0,-214.79,27692.989999999998,2.0,May,0.0009767441860465116
multi-channeled human-resource infrastructure,2023-05-30,2024-04-04,63889.54,0.77,webinar,B2C,paid,0.95,984610.31,310.0,-309.23,920720.77,2.0,May,0.0024838709677419356
distributed intangible software,2022-11-13,2023-11-27,14378.29,0.25,social media,B2B,organic,0.59,689799.85,379.0,-378.75,675421.5599999999,4.0,November,0.0006596306068601583
switchable clear-thinking challenge,2022-08-23,2023-08-16,57635.88,0.6,webinar,B2B,organic,0.16,192521.65,358.0,-357.4,134885.77,3.0,August,0.0016759776536312849
customizable 4thgeneration internet solution,2022-11-14,2023-08-27,78080.7,0.86,social media,B2B,promotion,0.6,373181.87,286.0,-285.14,295101.17,4.0,November,0.0030069930069930068
reduced zero tolerance policy,2023-01-28,2024-07-10,95263.32,0.4,podcast,B2B,promotion,0.33,352655.66,529.0,-528.6,257392.33999999997,1.0,January,0.0007561436672967864
profound real-time archive,2023-02-23,2023-12-02,54198.81,0.73,webinar,B2C,referral,0.4,784870.79,282.0,-281.27,730671.98,1.0,February,0.0025886524822695033
inverse static support,2022-11-28,2024-03-22,65189.68,0.21,podcast,B2C,referral,0.5,816329.8,480.0,-479.79,751140.12,4.0,November,0.0004375
total attitude-oriented support,2023-01-08,2024-06-29,85772.21,0.98,podcast,B2B,organic,0.86,755740.83,538.0,-537.02,669968.62,1.0,January,0.0018215613382899629
persistent tangible methodology,2023-02-17,2024-07-25,85190.24,0.64,webinar,B2C,promotion,0.48,900744.98,524.0,-523.36,815554.74,1.0,February,0.0012213740458015267
robust bi-directional hub,2022-11-01,2023-08-20,87931.71,0.56,email,B2C,referral,0.77,288613.62,292.0,-291.44,200681.90999999997,4.0,November,0.0019178082191780824
virtual content-based standardization,2022-08-23,2024-04-24,34658.91,0.27,social media,B2B,organic,0.59,596524.13,610.0,-609.73,561865.22,3.0,August,0.0004426229508196722
programmable modular architecture,2023-01-12,2024-01-28,57845.8,0.9,podcast,B2C,paid,0.7,267847.44,381.0,-380.1,210001.64,1.0,January,0.002362204724409449
open-source zero administration extranet,2023-06-13,2024-01-13,65653.98,0.47,social media,B2C,paid,0.96,320630.54,214.0,-213.53,254976.56,2.0,June,0.0021962616822429905
total asymmetric emulation,2023-03-30,2024-03-15,69996.24,0.77,social media,B2C,paid,0.86,936284.24,351.0,-350.23,866288.0,1.0,March,0.002193732193732194
streamlined attitude-oriented adapter,2023-07-03,2024-07-18,2554.18,0.46,social media,B2B,referral,0.33,575092.19,381.0,-380.54,572538.0099999999,3.0,July,0.0012073490813648295
operative demand-driven open system,2022-10-04,2023-10-08,11294.95,0.49,email,B2C,paid,0.95,390218.59,369.0,-368.51,378923.64,4.0,October,0.0013279132791327913
organic impactful approach,2023-07-08,2023-11-26,15971.25,0.94,email,B2B,organic,0.85,296134.8,141.0,-140.06,280163.55,3.0,July,0.006666666666666666
cloned leadingedge moderator,2022-11-11,2024-04-30,36838.48,0.3,email,B2B,referral,0.72,788871.83,536.0,-535.7,752033.35,4.0,November,0.0005597014925373135
versatile well-modulated ability,2023-05-28,2024-03-21,24501.77,0.93,podcast,B2B,referral,0.87,788670.6,298.0,-297.07,764168.83,2.0,May,0.003120805369127517
self-enabling zero tolerance synergy,2023-06-01,2024-05-07,49505.24,0.48,webinar,B2B,promotion,0.87,703788.18,341.0,-340.52,654282.9400000001,2.0,June,0.001407624633431085
polarized systematic parallelism,2023-01-03,2024-04-25,5479.95,0.0,social media,B2B,organic,0.62,775127.75,478.0,-478.0,769647.8,1.0,January,0.0
sharable object-oriented algorithm,2023-01-26,2023-11-28,13686.9,0.26,podcast,B2B,referral,0.68,298349.71,306.0,-305.74,284662.81,1.0,January,0.0008496732026143792
progressive systematic architecture,2022-08-15,2024-01-11,7306.71,0.69,webinar,B2B,paid,0.97,541005.28,514.0,-513.31,533698.5700000001,3.0,August,0.0013424124513618677
decentralized bi-directional forecast,2023-02-03,2023-11-18,96168.8,0.74,email,B2C,promotion,0.26,138002.71,288.0,-287.26,41833.90999999999,1.0,February,0.0025694444444444445
multi-lateral coherent hardware,2023-03-20,2023-12-20,80398.7,0.68,social media,B2B,paid,0.77,556040.51,275.0,-274.32,475641.81,1.0,March,0.0024727272727272727
digitized fresh-thinking toolset,2023-07-23,2024-03-20,7171.11,0.23,podcast,B2C,referral,0.58,244491.62,241.0,-240.77,237320.51,3.0,July,0.0009543568464730291
